Net,li1,met1,met2,met3,met4,met5,
_00124_,100.00%,100.00%,100.00%,NA,NA,NA,
_00125_,50.00%,100.00%,100.00%,NA,NA,NA,
_00126_,100.00%,100.00%,0.00%,NA,NA,NA,
_00127_,50.00%,78.31%,0.00%,NA,NA,NA,
_00128_,100.00%,100.00%,0.00%,NA,NA,NA,
_00129_,100.00%,100.00%,0.00%,NA,NA,NA,
_00130_,100.00%,100.00%,100.00%,NA,NA,NA,
_00131_,100.00%,100.00%,0.00%,NA,NA,NA,
_00132_,100.00%,100.00%,100.00%,NA,NA,NA,
_00133_,100.00%,100.00%,0.00%,NA,NA,NA,
_00134_,100.00%,100.00%,100.00%,NA,NA,NA,
_00135_,100.00%,100.00%,100.00%,NA,NA,NA,
_00136_,100.00%,100.00%,0.00%,NA,NA,NA,
_00137_,100.00%,100.00%,0.00%,NA,NA,NA,
_00138_,100.00%,100.00%,100.00%,NA,NA,NA,
_00139_,100.00%,100.00%,100.00%,NA,NA,NA,
_00140_,100.00%,100.00%,100.00%,NA,NA,NA,
_00141_,100.00%,100.00%,0.00%,NA,NA,NA,
_00142_,100.00%,100.00%,100.00%,NA,NA,NA,
_00143_,100.00%,100.00%,0.00%,NA,NA,NA,
_00144_,100.00%,100.00%,100.00%,NA,NA,NA,
_00145_,100.00%,100.00%,0.00%,NA,NA,NA,
_00146_,100.00%,100.00%,0.00%,NA,NA,NA,
_00147_,100.00%,100.00%,100.00%,NA,NA,NA,
_00148_,50.00%,78.31%,0.00%,NA,NA,NA,
_00149_,100.00%,100.00%,100.00%,NA,NA,NA,
_00150_,100.00%,100.00%,0.00%,NA,NA,NA,
_00151_,100.00%,100.00%,0.00%,NA,NA,NA,
_00152_,100.00%,100.00%,0.00%,NA,NA,NA,
_00153_,100.00%,100.00%,0.00%,NA,NA,NA,
_00154_,100.00%,100.00%,100.00%,NA,NA,NA,
_00155_,100.00%,100.00%,100.00%,NA,NA,NA,
_00156_,100.00%,100.00%,100.00%,NA,NA,NA,
_00157_,100.00%,100.00%,100.00%,NA,NA,NA,
_00158_,100.00%,100.00%,0.00%,NA,NA,NA,
_00159_,100.00%,100.00%,100.00%,NA,NA,NA,
_00160_,100.00%,100.00%,100.00%,NA,NA,NA,
_00161_,100.00%,100.00%,100.00%,NA,NA,NA,
_00162_,100.00%,100.00%,0.00%,NA,NA,NA,
_00163_,100.00%,100.00%,100.00%,NA,NA,NA,
_00164_,100.00%,100.00%,0.00%,NA,NA,NA,
_00165_,100.00%,100.00%,NA,NA,NA,NA,
_00166_,100.00%,100.00%,0.00%,NA,NA,NA,
_00167_,100.00%,100.00%,100.00%,NA,NA,NA,
_00168_,100.00%,100.00%,100.00%,NA,NA,NA,
_00169_,50.00%,100.00%,NA,NA,NA,NA,
_00170_,100.00%,100.00%,0.00%,NA,NA,NA,
_00171_,100.00%,100.00%,NA,NA,NA,NA,
_00172_,100.00%,100.00%,NA,NA,NA,NA,
_00173_,100.00%,100.00%,100.00%,NA,NA,NA,
_00174_,100.00%,100.00%,0.00%,NA,NA,NA,
_00175_,100.00%,100.00%,100.00%,NA,NA,NA,
_00176_,100.00%,100.00%,100.00%,NA,NA,NA,
_00177_,100.00%,100.00%,100.00%,NA,NA,NA,
_00178_,100.00%,100.00%,100.00%,NA,NA,NA,
_00179_,100.00%,100.00%,100.00%,NA,NA,NA,
_00180_,100.00%,100.00%,0.00%,NA,NA,NA,
_00181_,100.00%,100.00%,NA,NA,NA,NA,
_00182_,100.00%,100.00%,100.00%,NA,NA,NA,
_00183_,100.00%,100.00%,0.00%,NA,NA,NA,
